2018-2019 Award Year Direct Loan Volume by School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Cumulative Activity through Quarter ending (6/30/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Common Origination and Disbursement (COD) System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of Oct 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,DL SUBSIDIZED,,,,,DL UNSUBSIDIZED - UNDERGRADUATE,,,,,DL UNSUBSIDIZED - GRADUATE,,,,,DL PARENT PLUS,,,,,DL GRAD PLUS,,,,
00669900,UNIVERSITY OF SUSSEX,,BN1   9RH,Foreign-Public,6,6,"$27,000.00",12,"$27,000.00",6,6,"$26,490.00",12,"$26,490.00",40,40,"$725,559.00",116,"$725,559.00",2,2,"$50,500.00",4,"$50,500.00",28,28,"$691,471.00",80,"$691,471.00"
00670000,UNIVERSITY OF YORK,,YO10 5DD,Foreign-Public,11,11,"$44,833.00",31,"$44,833.00",13,13,"$37,916.00",38,"$37,916.00",62,62,"$1,209,589.00",242,"$1,209,589.00",10,10,"$345,751.00",30,"$345,751.00",56,56,"$1,253,510.00",218,"$1,253,510.00"
00670400,UNIVERSITY COLLEGE CORK,,CORK,Foreign-Public,12,12,"$56,000.00",22,"$56,000.00",13,13,"$54,500.00",24,"$54,500.00",48,48,"$911,304.00",94,"$911,304.00",4,4,"$54,800.00",7,"$54,800.00",36,36,"$1,127,346.00",71,"$1,127,346.00"
00671000,FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS PUEBLA,,72810,Foreign-Private,2,2,"$7,000.00",4,"$7,000.00",2,2,"$2,522.00",4,"$2,522.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00671300,UPPSALA UNIVERSITY,,,Foreign-Public,1,1,"$3,500.00",2,"$3,500.00",2,2,"$18,500.00",4,"$18,500.00",26,26,"$436,254.00",52,"$436,254.00",-,-, -,-, -,9,9,"$86,971.00",17,"$86,971.00"
00672000,COLLEGE OF ALAMEDA,CA,945012109,Public,35,36,"$130,552.00",98,"$130,552.00",35,36,"$152,543.00",101,"$152,543.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00672500,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,TN,381634900,Public,190,196,"$941,415.00",373,"$920,331.00",190,197,"$1,012,306.00",382,"$985,446.00","2,108","2,397","$65,875,590.00","4,391","$65,576,337.00",15,18,"$426,872.00",34,"$426,872.00","1,001","1,904","$17,063,785.00","2,507","$17,012,062.00"
00673100,CASA LOMA COLLEGE,CA,914054523,Private-Nonprofit,244,300,"$1,074,655.00",577,"$1,074,655.00",223,276,"$1,200,757.00",547,"$1,199,900.00",-,-, -,-, -,20,24,"$169,124.00",41,"$166,557.00",-,-, -,-, -
00675000,VALENCIA COLLEGE,FL,328023028,Public,"6,871","7,338","$21,235,057.00","12,475","$21,217,371.00","5,652","5,908","$20,256,513.00","9,967","$20,248,888.00",-,-, -,-, -,73,81,"$600,194.00",152,"$596,732.00",-,-, -,-, -
00675300,ILLINOIS CENTRAL COLLEGE,IL,616350001,Public,798,916,"$2,196,242.00","1,691","$2,196,242.00",745,859,"$1,970,539.00","1,588","$1,970,539.00",-,-, -,-, -,22,26,"$108,306.00",51,"$108,306.00",-,-, -,-, -
00675600,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,LA,704275866,Public,"1,175","1,205","$4,019,112.00","2,102","$3,547,005.00","1,195","1,274","$5,007,373.00","2,205","$4,382,952.00",-,-, -,-, -,10,10,"$39,049.00",17,"$35,972.00",-,-, -,-, -
00676000,UNIVERSITY OF MAINE - AUGUSTA,ME,043309410,Public,"1,450","1,625","$5,601,437.00","3,023","$5,137,221.00","1,365","1,568","$6,726,496.00","2,918","$6,085,046.00",-,-, -,-, -,16,19,"$182,094.00",36,"$168,858.00",-,-, -,-, -
00676800,MID MICHIGAN COLLEGE,MI,486259447,Public,"1,015","1,015","$3,119,183.00","1,845","$3,119,183.00","1,011","1,011","$3,497,320.00","1,830","$3,497,320.00",-,-, -,-, -,62,62,"$459,411.00",119,"$458,676.00",-,-, -,-, -
00677100,COLLEGE FOR CREATIVE STUDIES,MI,482024034,Private-Nonprofit,788,792,"$3,275,661.00","1,453","$3,275,661.00",761,798,"$2,359,216.00","1,469","$2,359,216.00",11,11,"$223,250.00",22,"$223,250.00",311,327,"$7,571,751.00",589,"$7,571,751.00",4,4,"$91,020.00",8,"$91,020.00"
00677500,RAINY RIVER COMMUNITY COLLEGE,MN,566492187,Public,58,71,"$175,812.00",128,"$175,812.00",61,66,"$153,680.00",117,"$153,680.00",-,-, -,-, -,4,5,"$17,062.00",9,"$17,062.00",-,-, -,-, -
00677700,FLATHEAD VALLEY COMMUNITY COLLEGE,MT,599012699,Public,339,360,"$991,238.00",590,"$984,414.00",290,327,"$1,046,444.00",550,"$1,035,349.00",-,-, -,-, -,5,5,"$15,784.00",6,"$15,784.00",-,-, -,-, -
00678200,GENESEE COMMUNITY COLLEGE,NY,140209704,Public,"1,121","1,181","$3,364,876.00","2,021","$3,208,103.00","1,164","1,362","$4,314,369.00","2,357","$4,127,213.00",-,-, -,-, -,40,41,"$194,022.00",74,"$191,022.00",-,-, -,-, -
00678500,SCHENECTADY COUNTY COMMUNITY COLLEGE,NY,123052294,Public,941,"1,011","$2,695,311.00","1,841","$2,385,623.00",919,992,"$3,561,727.00","1,801","$3,148,457.00",-,-, -,-, -,28,31,"$210,621.00",57,"$194,322.00",-,-, -,-, -
00678700,CLINTON COMMUNITY COLLEGE,NY,129015690,Public,301,306,"$821,640.00",620,"$821,640.00",321,334,"$1,188,148.00",665,"$1,188,148.00",-,-, -,-, -,7,8,"$39,613.00",15,"$39,613.00",-,-, -,-, -
00678800,TOMPKINS CORTLAND COMMUNITY COLLEGE,NY,130530139,Public,995,"1,054","$3,253,936.00","1,904","$3,208,265.00",938,"1,064","$3,539,590.00","1,907","$3,482,999.00",-,-, -,-, -,157,175,"$1,228,385.00",326,"$1,228,385.00",-,-, -,-, -
00678900,SUNY COLUMBIA-GREENE COMMUNITY COLLEGE,NY,125349543,Public,238,247,"$743,124.00",456,"$741,374.00",211,216,"$768,388.00",398,"$768,388.00",-,-, -,-, -,2,2,"$14,191.00",5,"$14,191.00",-,-, -,-, -
00679100,SUNY COLLEGE AT PURCHASE,NY,105771400,Public,"1,833","1,992","$7,550,265.00","3,454","$7,536,330.00","1,890","2,194","$6,794,170.00","3,859","$6,792,396.00",49,55,"$806,518.00",92,"$806,518.00",752,888,"$12,090,979.00","1,512","$12,090,979.00",6,7,"$80,922.00",12,"$80,922.00"
00680400,LAKELAND COMMUNITY COLLEGE,OH,440945198,Public,"1,206","1,331","$3,774,131.00","2,357","$3,465,791.00","1,172","1,293","$5,076,300.00","2,272","$4,549,155.00",-,-, -,-, -,4,4,"$17,626.00",7,"$17,626.00",-,-, -,-, -
00680700,COMMUNITY COLLEGE OF BEAVER COUNTY,PA,150612588,Public,680,708,"$1,980,806.00","1,239","$1,940,345.00",793,838,"$2,900,239.00","1,453","$2,831,849.00",-,-, -,-, -,36,39,"$388,913.00",68,"$366,535.00",-,-, -,-, -
00681000,LEHIGH CARBON COMMUNITY COLLEGE,PA,180782598,Public,"1,416","1,453","$3,580,447.00","2,710","$3,576,065.00","1,551","1,589","$4,989,036.00","3,028","$4,986,075.00",-,-, -,-, -,3,3,"$18,560.00",6,"$18,560.00",-,-, -,-, -
00681100,LUZERNE COUNTY COMMUNITY COLLEGE,PA,186343899,Public,"1,614","1,671","$4,889,539.00","3,028","$4,715,004.00",891,"1,032","$3,222,793.00","1,914","$3,130,198.00",-,-, -,-, -,21,25,"$93,418.00",48,"$93,418.00",-,-, -,-, -
00681500,ORANGEBURG CALHOUN TECHNICAL COLLEGE,SC,291188299,Public,366,418,"$1,074,721.00",762,"$1,074,721.00",338,432,"$1,099,505.00",799,"$1,099,505.00",-,-, -,-, -,8,9,"$34,000.00",17,"$34,000.00",-,-, -,-, -
00681900,BLUE RIDGE COMMUNITY COLLEGE,VA,244860080,Public,380,420,"$1,135,999.00",786,"$1,135,999.00",343,393,"$1,126,003.00",726,"$1,126,003.00",-,-, -,-, -,7,7,"$21,004.00",12,"$21,004.00",-,-, -,-, -
00683500,DYERSBURG STATE COMMUNITY COLLEGE,TN,380252450,Public,327,368,"$814,579.00",704,"$808,854.00",120,138,"$303,705.00",292,"$303,705.00",-,-, -,-, -,5,6,"$33,755.00",15,"$33,755.00",-,-, -,-, -
00683700,UNIVERSITE LAVAL,,G1V 0A6,Foreign-Public,3,3,"$14,500.00",6,"$14,500.00",3,3,"$19,000.00",6,"$19,000.00",12,12,"$137,896.00",23,"$131,670.00",-,-, -,-, -,1,1,"$8,536.00",2,"$8,536.00"
00683800,DALHOUSIE UNIVERSITY,,B3H   4R2,Foreign-Public,42,42,"$176,895.00",80,"$176,895.00",47,47,"$189,586.00",91,"$189,586.00",34,34,"$679,826.00",67,"$679,826.00",10,11,"$225,065.00",21,"$225,065.00",29,29,"$1,703,309.00",58,"$1,703,309.00"
00683900,UNIVERSITY OF EDINBURGH,,EH8 9YL,Foreign-Public,102,102,"$434,387.00",203,"$434,387.00",106,106,"$311,592.00",210,"$311,592.00",408,408,"$7,957,765.00","1,023","$7,957,765.00",66,66,"$1,895,254.00",133,"$1,895,254.00",350,350,"$11,329,757.00",890,"$11,329,757.00"
00684200,UNIVERSITY OF DUBLIN TRINITY COLLEGE,,,Foreign-Public,64,64,"$270,250.00",120,"$270,250.00",60,60,"$134,000.00",115,"$134,000.00",143,143,"$2,760,126.00",283,"$2,749,876.00",29,29,"$948,822.00",57,"$948,822.00",91,96,"$2,837,277.00",192,"$2,837,277.00"
00685000,UNIVERSITY OF CAMBRIDGE - DOWNING COLLEGE,,CB2   1DQ,Foreign-Public,1,1,"$5,500.00",3,"$5,500.00",1,1,"$2,000.00",2,"$2,000.00",3,3,"$61,500.00",9,"$61,500.00",-,-, -,-, -,4,4,"$200,260.00",12,"$200,260.00"
00685200,BISHOP'S UNIVERSITY,,J1M   1Z7,Foreign-Private,25,25,"$105,604.00",47,"$105,604.00",25,25,"$52,000.00",47,"$52,000.00",1,1,"$20,500.00",2,"$20,500.00",5,5,"$58,808.00",10,"$58,808.00",-,-, -,-, -
00685800,UNITY COLLEGE,ME,049889502,Private-Nonprofit,527,559,"$2,306,575.00","1,012","$2,255,302.00",586,610,"$1,912,660.00","1,126","$1,864,767.00",88,98,"$1,077,519.00",253,"$1,077,519.00",152,167,"$2,458,499.00",283,"$2,421,198.00",6,9,"$40,740.00",24,"$34,941.00"
00686500,CAMDEN COUNTY COLLEGE,NJ,080123240,Public,"1,071","1,237","$3,023,739.00","2,337","$3,020,426.00","1,174","1,383","$3,802,736.00","2,606","$3,799,314.00",-,-, -,-, -,13,14,"$57,366.00",28,"$57,366.00",-,-, -,-, -
00686700,COLUMBUS STATE COMMUNITY COLLEGE- MAIN CAMPUS,OH,432151786,Public,"5,805","5,999","$16,056,199.00","10,584","$16,001,799.00","4,258","4,829","$13,306,589.00","8,475","$13,272,484.00",-,-, -,-, -,41,46,"$215,206.00",81,"$213,132.00",-,-, -,-, -
00687100,THOMAS NELSON COMMUNITY COLLEGE,VA,236661433,Public,"1,118","1,213","$3,424,353.00","2,251","$3,424,353.00","1,044","1,183","$3,727,826.00","2,193","$3,727,826.00",-,-, -,-, -,14,14,"$77,696.00",27,"$77,696.00",-,-, -,-, -
00689500,UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,681984265,Public,444,448,"$2,089,296.00",824,"$2,061,148.00",430,450,"$2,055,258.00",819,"$2,024,054.00","1,283","1,424","$36,691,234.00","2,885","$36,148,560.00",33,38,"$482,167.00",65,"$482,167.00",731,846,"$12,874,178.00","1,710","$12,830,586.00"
00690100,ROWAN COLLEGE OF SOUTH JERSEY,NJ,080804249,Public,"1,756","1,904","$5,458,894.00","3,176","$5,360,349.00","2,011","2,232","$7,555,378.00","3,754","$7,385,786.00",-,-, -,-, -,83,94,"$904,967.00",164,"$902,967.00",-,-, -,-, -
00691100,MONTGOMERY COLLEGE,MD,208501195,Public,"1,977","1,999","$6,621,017.00","3,264","$6,422,951.00","1,655","1,688","$6,890,529.00","2,743","$6,662,673.00",-,-, -,-, -,26,27,"$172,199.00",43,"$153,049.00",-,-, -,-, -
00693100,WAUBONSEE COMMUNITY COLLEGE,IL,605540000,Public,524,579,"$1,446,717.00",930,"$1,445,592.00",547,700,"$1,550,962.00","1,118","$1,550,962.00",-,-, -,-, -,3,3,"$24,225.00",6,"$20,892.00",-,-, -,-, -
00693800,LINN-BENTON COMMUNITY COLLEGE,OR,973213774,Public,"1,132","1,208","$3,438,649.00","2,598","$3,123,292.00","1,005","1,071","$3,867,853.00","2,326","$3,469,735.00",-,-, -,-, -,24,27,"$176,739.00",64,"$149,409.00",-,-, -,-, -
00694100,DALLAS CHRISTIAN COLLEGE,TX,752347229,Private-Nonprofit,142,152,"$565,800.00",295,"$565,800.00",158,184,"$624,353.00",348,"$624,353.00",-,-, -,-, -,42,48,"$715,089.00",103,"$715,089.00",-,-, -,-, -
00694200,MID-AMERICA CHRISTIAN UNIVERSITY,OK,731704504,Private-Nonprofit,"1,062","1,216","$4,706,271.00","3,259","$3,980,574.00","1,099","1,248","$6,203,057.00","3,343","$5,148,763.00",343,396,"$6,718,189.00",983,"$5,039,797.00",41,41,"$481,432.00",78,"$454,164.00",5,5,"$69,409.00",7,"$32,356.00"
00694900,KALAMAZOO VALLEY COMMUNITY COLLEGE,MI,490099606,Public,"1,634","1,792","$4,598,001.00","3,136","$4,596,696.00",999,"1,253","$3,179,982.00","2,259","$3,179,357.00",-,-, -,-, -,23,23,"$99,000.00",39,"$99,000.00",-,-, -,-, -
00695100,UNIVERSITY OF SOUTH CAROLINA UPSTATE,SC,293039972,Public,"3,392","3,609","$14,265,788.00","6,176","$13,838,033.00","3,373","3,876","$14,393,618.00","6,739","$13,886,254.00",20,24,"$298,713.00",35,"$288,463.00",551,649,"$6,153,454.00","1,080","$6,088,487.00",-,-, -,-, -
00696000,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,KY,410568910,Public,904,"1,007","$2,811,942.00","1,814","$2,795,092.00",780,"1,010","$2,573,817.00","1,831","$2,551,382.00",-,-, -,-, -,2,2,"$8,000.00",4,"$8,000.00",-,-, -,-, -
00696100,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,KY,402022005,Public,"2,301","2,414","$6,979,306.00","4,232","$6,974,806.00","1,949","2,147","$6,691,574.00","3,720","$6,690,812.00",-,-, -,-, -,9,9,"$44,546.00",16,"$44,546.00",-,-, -,-, -
00696200,HAZARD COMMUNITY AND TECHNICAL COLLEGE,KY,417012402,Public,483,553,"$1,427,462.00","1,016","$1,427,462.00",402,513,"$1,198,558.00",948,"$1,198,558.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00697300,CANADA COLLEGE,CA,940611099,Public,47,48,"$176,625.00",90,"$172,625.00",47,51,"$211,908.00",94,"$204,658.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00697500,LINCOLN UNIVERSITY,CA,946122801,Private-Nonprofit,25,30,"$109,198.00",30,"$55,898.00",26,26,"$154,725.00",26,"$80,519.00",4,4,"$67,500.00",6,"$57,250.00",2,2,"$14,363.00",2,"$5,213.00",-,-, -,-, -
00697700,GREAT BASIN COLLEGE,NV,898013348,Public,194,204,"$627,742.00",361,"$627,457.00",231,248,"$1,110,314.00",442,"$1,110,314.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00698200,NAUGATUCK VALLEY COMMUNITY COLLEGE,CT,067083089,Public,142,148,"$336,192.00",282,"$336,192.00",187,205,"$606,737.00",391,"$603,487.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00701200,SAMUEL MERRITT UNIVERSITY,CA,946093108,Private-Nonprofit,625,673,"$3,097,442.00","1,024","$3,097,442.00",623,718,"$3,873,503.00","1,069","$3,873,503.00",982,"1,552","$26,777,840.00","2,380","$26,777,840.00",48,52,"$1,577,344.00",89,"$1,577,344.00",799,"1,496","$28,130,143.00","2,182","$28,130,143.00"
00702200,CUNY LEHMAN COLLEGE,NY,104681589,Public,"2,378","3,183","$9,242,444.00","6,262","$9,237,092.00","1,449","1,883","$5,763,224.00","3,689","$5,752,987.00",815,"1,078","$10,728,728.00","2,068","$10,718,478.00",6,6,"$55,098.00",12,"$55,098.00",10,13,"$122,063.00",26,"$122,063.00"
00702600,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,100296500,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,424,497,"$13,220,562.00",934,"$13,220,562.00",-,-, -,-, -,221,279,"$4,940,265.00",516,"$4,940,265.00"
00703200,MIDAMERICA NAZARENE UNIVERSITY,KS,660621899,Private-Nonprofit,800,887,"$3,425,446.00","1,584","$3,425,446.00",791,905,"$3,465,725.00","1,605","$3,465,725.00",333,345,"$4,379,906.00",758,"$4,379,906.00",178,188,"$2,631,086.00",342,"$2,631,086.00",21,22,"$284,656.00",50,"$284,656.00"
00703500,KETTERING COLLEGE,OH,454291299,Private-Nonprofit,323,421,"$1,626,746.00",797,"$1,612,607.00",318,431,"$1,842,171.00",814,"$1,825,561.00",203,269,"$4,981,542.00",533,"$4,981,542.00",56,74,"$946,518.00",144,"$946,518.00",166,212,"$3,070,824.00",421,"$3,070,824.00"
00704700,LOS ANGELES SOUTHWEST COLLEGE,CA,900474810,Public,130,131,"$494,000.00",251,"$494,000.00",139,142,"$670,982.00",270,"$670,982.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00705000,BELLUS ACADEMY,CA,919111773,Proprietary,201,235,"$734,671.00",427,"$700,046.00",199,239,"$898,982.00",459,"$857,358.00",-,-, -,-, -,49,58,"$237,256.00",112,"$223,912.00",-,-, -,-, -
00708500,MOUNT VERNON NAZARENE UNIVERSITY,OH,430509500,Private-Nonprofit,"1,026","1,054","$4,076,627.00","1,813","$4,010,298.00","1,059","1,078","$3,915,693.00","1,878","$3,821,660.00",220,232,"$3,023,124.00",353,"$2,820,833.00",199,207,"$2,283,383.00",371,"$2,283,383.00",-,-, -,-, -
00709600,COLLEGE OF THE MAINLAND,TX,775730000,Public,171,178,"$432,372.00",483,"$432,372.00",151,163,"$504,805.00",464,"$504,805.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00710800,UNIVERSITY OF PUERTO RICO - RIO PIEDRAS CAMPUS,PR,009313300,Public,"1,043","1,045","$4,725,982.00","1,567","$4,580,132.00",131,132,"$404,068.00",190,"$383,568.00",971,980,"$12,967,373.00","1,792","$12,800,453.00",1,1,"$10,000.00",1,"$10,000.00",41,41,"$241,984.00",57,"$241,984.00"
00710900,SUNY COLLEGE AT OLD WESTBURY,NY,115680210,Public,"1,628","1,813","$6,414,554.00","3,082","$6,411,220.00","1,330","1,473","$4,846,562.00","2,549","$4,843,062.00",119,146,"$1,280,862.00",234,"$1,280,862.00",198,224,"$1,543,819.00",385,"$1,543,819.00",4,5,"$60,964.00",8,"$60,964.00"
00711000,DELAWARE COUNTY COMMUNITY COLLEGE,PA,190631094,Public,"2,642","2,938","$8,039,984.00","5,330","$8,038,309.00","2,585","2,872","$9,835,305.00","5,168","$9,834,996.00",-,-, -,-, -,40,43,"$281,104.00",74,"$281,104.00",-,-, -,-, -
00711100,NORTH COUNTRY COMMUNITY COLLEGE,NY,129832046,Public,456,456,"$1,454,106.00",829,"$1,450,106.00",480,480,"$1,971,953.00",886,"$1,967,953.00",-,-, -,-, -,36,36,"$284,093.00",69,"$284,093.00",-,-, -,-, -
00711300,ARIZONA CHRISTIAN UNIVERSITY,AZ,850327097,Private-Nonprofit,381,383,"$1,451,819.00",651,"$1,414,270.00",456,497,"$1,714,513.00",844,"$1,637,864.00",-,-, -,-, -,113,125,"$1,442,444.00",204,"$1,431,184.00",-,-, -,-, -
00711500,MOORPARK COLLEGE,CA,930211695,Public,189,193,"$666,270.00",366,"$665,395.00",174,182,"$747,354.00",343,"$747,354.00",-,-, -,-, -,8,9,"$67,146.00",18,"$67,146.00",-,-, -,-, -
00711800,PARKLAND COLLEGE,IL,618211899,Public,"1,550","1,645","$4,485,038.00","2,897","$4,481,538.00",705,833,"$2,052,954.00","1,494","$2,052,954.00",-,-, -,-, -,89,109,"$773,465.00",208,"$773,465.00",-,-, -,-, -
00712000,DES MOINES AREA COMMUNITY COLLEGE,IA,500213993,Public,"3,914","4,161","$11,152,785.00","7,408","$11,152,785.00","3,806","4,136","$13,494,938.00","7,366","$13,494,938.00",-,-, -,-, -,97,106,"$606,735.00",185,"$606,735.00",-,-, -,-, -
00712100,FAITH BAPTIST BIBLE COLLEGE & THEOLOGICAL SEMINARY,IA,500232152,Private-Nonprofit,83,83,"$307,877.00",162,"$304,127.00",69,69,"$207,211.00",135,"$202,211.00",2,2,"$9,739.00",3,"$9,739.00",4,4,"$22,921.00",7,"$22,921.00",-,-, -,-, -
00713000,NEWBERRY SCHOOL OF BEAUTY,CA,913447404,Proprietary,93,97,"$250,279.00",182,"$235,237.00",83,86,"$219,491.00",172,"$204,560.00",-,-, -,-, -,4,4,"$23,659.00",8,"$23,659.00",-,-, -,-, -
00714200,LYLE'S COLLEGE OF BEAUTY,CA,937103948,Proprietary,78,84,"$254,112.00",143,"$229,611.00",60,63,"$230,131.00",110,"$206,239.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00716400,BRYAN UNIVERSITY,AZ,852811495,Proprietary,"1,049","1,223","$3,676,253.00","2,354","$3,478,581.00","1,130","1,325","$6,444,720.00","2,629","$6,044,214.00",1,1,"$4,000.00",2,"$4,000.00",42,48,"$257,694.00",93,"$247,709.00",-,-, -,-, -
00717000,LINCOLN LAND COMMUNITY COLLEGE,IL,627949256,Public,"1,085","1,214","$3,504,147.00","2,130","$3,276,789.00",984,"1,120","$4,081,227.00","1,961","$3,805,646.00",-,-, -,-, -,9,10,"$74,225.00",20,"$74,225.00",-,-, -,-, -
00717100,KIRTLAND COMMUNITY COLLEGE,MI,486530000,Public,374,403,"$1,120,162.00",743,"$1,120,162.00",332,354,"$1,299,512.00",647,"$1,299,512.00",-,-, -,-, -,4,5,"$27,651.00",10,"$27,651.00",-,-, -,-, -
00717800,WESTERN SEMINARY,OR,972153367,Private-Nonprofit,-,-, -,-, -,3,3,"$16,860.00",6,"$16,860.00",177,225,"$1,909,812.00",398,"$1,909,812.00",-,-, -,-, -,-,-, -,-, -
00718700,NORTH ADRIAN'S COLLEGE OF BEAUTY,CA,953502381,Proprietary,125,133,"$409,336.00",233,"$353,670.00",99,111,"$518,894.00",197,"$446,561.00",-,-, -,-, -,22,22,"$178,100.00",40,"$161,500.00",-,-, -,-, -
00719100,NORTHAMPTON COUNTY AREA COMMUNITY COLLEGE,PA,180207599,Public,"2,489","2,520","$7,701,874.00","4,544","$7,701,874.00","2,800","2,961","$10,723,005.00","5,311","$10,723,005.00",-,-, -,-, -,211,217,"$1,656,205.00",384,"$1,656,205.00",-,-, -,-, -
00720300,SALON SUCCESS ACADEMY,CA,917864060,Proprietary,230,269,"$753,525.00",494,"$721,830.00",237,271,"$865,442.00",573,"$821,392.00",-,-, -,-, -,19,21,"$88,412.00",43,"$84,742.00",-,-, -,-, -
00720400,MODERN BEAUTY ACADEMY - OXNARD,CA,930307016,Proprietary,27,33,"$101,228.00",61,"$97,978.00",19,21,"$54,856.00",39,"$52,837.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00720600,UNIVERSITY OF PUERTO RICO - CAYEY UNIVERSITY COLLEGE,PR,007369997,Public,178,179,"$745,757.00",292,"$744,257.00",3,3,"$14,000.00",6,"$14,000.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00720900,REDONDO BEACH BEAUTY COLLEGE,CA,902783111,Proprietary,4,4,"$6,993.00",6,"$5,923.00",1,1,"$3,200.00",2,"$3,200.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00722800,UNIVERSITY OF PUERTO RICO - ARECIBO,PR,006144010,Public,123,123,"$544,150.00",242,"$544,150.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00725300,FEDERICO BEAUTY INSTITUTE,CA,958341905,Proprietary,247,272,"$737,104.00",514,"$712,405.00",252,279,"$783,190.00",550,"$764,900.00",-,-, -,-, -,19,19,"$115,560.00",38,"$107,921.00",-,-, -,-, -
00726300,HOLY CROSS COLLEGE,IN,465560308,Private-Nonprofit,195,195,"$768,812.00",361,"$768,812.00",217,217,"$684,694.00",402,"$684,694.00",-,-, -,-, -,44,44,"$651,160.00",79,"$651,160.00",-,-, -,-, -
00726500,CARL SANDBURG COLLEGE,IL,614019576,Public,125,143,"$344,372.00",276,"$344,372.00",41,43,"$93,139.00",83,"$93,139.00",-,-, -,-, -,25,27,"$146,208.00",50,"$146,208.00",-,-, -,-, -
00726600,PIMA COUNTY COMMUNITY COLLEGE,AZ,857095000,Public,"2,593","2,820","$6,969,291.00","7,936","$6,964,915.00","1,370","1,586","$4,278,915.00","4,407","$4,272,415.00",-,-, -,-, -,21,21,"$161,023.00",69,"$161,023.00",-,-, -,-, -
00727300,CUNY BERNARD M. BARUCH COLLEGE,NY,100105518,Public,"1,398","1,738","$5,516,461.00","3,412","$5,450,041.00",958,"1,225","$3,620,482.00","2,393","$3,565,728.00",805,971,"$11,741,111.00","1,838","$11,518,714.00",99,110,"$1,736,957.00",219,"$1,719,581.00",85,102,"$1,401,801.00",201,"$1,401,801.00"
00727500,EASTERN GATEWAY COMMUNITY COLLEGE,OH,439523598,Public,661,732,"$1,381,478.00","1,362","$1,381,478.00",469,531,"$1,082,244.00",962,"$1,082,244.00",-,-, -,-, -,7,9,"$24,279.00",17,"$24,279.00",-,-, -,-, -
00727600,SAINT MEINRAD SCHOOL OF THEOLOGY,IN,475771002,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,3,3,"$34,250.00",5,"$34,250.00",-,-, -,-, -,-,-, -,-, -
00727900,HAWAII PACIFIC UNIVERSITY,HI,968134920,Private-Nonprofit,"1,014","1,033","$3,984,151.00","1,789","$3,955,218.00","1,013","1,031","$3,543,288.00","1,784","$3,511,468.00",167,170,"$2,805,131.00",298,"$2,794,881.00",262,283,"$5,984,288.00",515,"$5,950,046.00",32,32,"$510,002.00",55,"$510,002.00"
00728300,CENTRAL ARIZONA COLLEGE,AZ,851289779,Public,404,406,"$1,168,436.00","1,237","$1,168,436.00",418,428,"$1,472,665.00","1,364","$1,469,372.00",-,-, -,-, -,7,7,"$54,720.00",16,"$54,720.00",-,-, -,-, -
00728700,BRAZOSPORT COLLEGE,TX,775663199,Public,45,48,"$128,686.00",85,"$127,811.00",32,33,"$117,898.00",60,"$117,898.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00728900,CENTRAL WYOMING COLLEGE,WY,825012215,Public,192,216,"$519,972.00",604,"$519,972.00",173,199,"$624,534.00",581,"$624,534.00",-,-, -,-, -,8,8,"$30,352.00",26,"$30,352.00",-,-, -,-, -
00729100,ST. LUKE'S COLLEGE,IA,511040263,Private-Nonprofit,142,214,"$539,498.00",299,"$537,748.00",133,190,"$600,753.00",272,"$600,753.00",-,-, -,-, -,22,34,"$288,271.00",49,"$288,271.00",-,-, -,-, -
00729600,COLEMAN UNIVERSITY,CA,921231506,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,3,3,"$12,486.00",9,"$12,486.00",-,-, -,-, -,-,-, -,-, -
